CH4               121286C   1H   4          G   300.000  5000.000 1000.00      1
 1.68347900e+00 1.02372400e-02-3.87512900e-06 6.78558500e-10-4.50342300e-14    2
-1.00807900e+04 9.62339500e+00 7.78741500e-01 1.74766800e-02-2.78340900e-05    3
 3.04970800e-08-1.22393100e-11-9.82522900e+03 1.37221900e+01                   4
H2                121286H   2               G   300.000  5000.000 1000.00      1
 2.99142300e+00 7.00064400e-04-5.63382900e-08-9.23157800e-12 1.58275200e-15    2
-8.35034000e+02-1.35511000e+00 3.29812400e+00 8.24944200e-04-8.14301500e-07    3
-9.47543400e-11 4.13487200e-13-1.01252100e+03-3.29409400e+00                   4
H                 120186H   1               G   300.000  5000.000 1000.00      1
 2.50000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00    2
 2.54716300e+04-4.60117600e-01 2.50000000e+00 0.00000000e+00 0.00000000e+00    3
 0.00000000e+00 0.00000000e+00 2.54716300e+04-4.60117600e-01                   4
CO                121286C   1O   1          G   300.000  5000.000 1000.00      1
 3.02507800e+00 1.44268900e-03-5.63082800e-07 1.01858100e-10-6.91095200e-15    2
-1.42683500e+04 6.10821800e+00 3.26245200e+00 1.51194100e-03-3.88175500e-06    3
 5.58194400e-09-2.47495100e-12-1.43105400e+04 4.84889700e+00                   4
CO2               121286C   1O   2          G   300.000  5000.000 1000.00      1
 4.45362300e+00 3.14016900e-03-1.27841100e-06 2.39399700e-10-1.66903300e-14    2
-4.89669600e+04-9.55395900e-01 2.27572500e+00 9.92207200e-03-1.04091100e-05    3
 6.86668700e-09-2.11728000e-12-4.83731400e+04 1.01884900e+01                   4
HO2                20387H   1O   2          G   300.000  5000.000 1000.00      1
 4.07219100e+00 2.13129600e-03-5.30814500e-07 6.11226900e-11-2.84116500e-15    2
-1.57972700e+02 3.47602900e+00 2.97996300e+00 4.99669700e-03-3.79099700e-06    3
 2.35419200e-09-8.08902400e-13 1.76227400e+02 9.22272400e+00                   4
OH                121286O   1H   1          G   300.000  5000.000 1000.00      1
 2.88273000e+00 1.01397400e-03-2.27687700e-07 2.17468400e-11-5.12630500e-16    2
 3.88688800e+03 5.59571200e+00 3.63726600e+00 1.85091000e-04-1.67616500e-06    3
 2.38720300e-09-8.43144200e-13 3.60678200e+03 1.35886000e+00                   4
O                 120186O   1               G   300.000  5000.000 1000.00      1
 2.54206000e+00-2.75506200e-05-3.10280300e-09 4.55106700e-12-4.36805200e-16    2
 2.92308000e+04 4.92030800e+00 2.94642900e+00-1.63816600e-03 2.42103200e-06    3
-1.60284300e-09 3.89069600e-13 2.91476400e+04 2.96399500e+00                   4
O2                121386O   2               G   300.000  5000.000 1000.00      1
 3.69757800e+00 6.13519700e-04-1.25884200e-07 1.77528100e-11-1.13643500e-15    2
-1.23393000e+03 3.18916600e+00 3.21293600e+00 1.12748600e-03-5.75615000e-07    3
 1.31387700e-09-8.76855400e-13-1.00524900e+03 6.03473800e+00                   4
N2                121286N   2               G   300.000  5000.000 1000.00      1
 2.92664000e+00 1.48797700e-03-5.68476100e-07 1.00970400e-10-6.75335100e-15    2
-9.22797700e+02 5.98052800e+00 3.29867700e+00 1.40824000e-03-3.96322200e-06    3
 5.64151500e-09-2.44485500e-12-1.02090000e+03 3.95037200e+00                   4
N                 120186N   1               G   300.000  5000.000 1000.00      1
 2.45026800e+00 1.06614600e-04-7.46533700e-08 1.87965200e-11-1.02598400e-15    2
 5.61160400e+04 4.44875800e+00 2.50307100e+00-2.18001800e-05 5.42052900e-08    3
-5.64756000e-11 2.09990400e-14 5.60989000e+04 4.16756600e+00                   4
H2O                20387H   2O   1          G   300.000  5000.000 1000.00      1
 2.67214600e+00 3.05629300e-03-8.73026000e-07 1.20099600e-10-6.39161800e-15    2
-2.98992100e+04 6.86281700e+00 3.38684200e+00 3.47498200e-03-6.35469600e-06    3
 6.96858100e-09-2.50658800e-12-3.02081100e+04 2.59023300e+00                   4
H2O2              120186H   2O   2          G   300.000  5000.000 1000.00      1
 4.57316700e+00 4.33613600e-03-1.47468900e-06 2.34890400e-10-1.43165400e-14    2
-1.80069600e+04 5.01137000e-01 3.38875400e+00 6.56922600e-03-1.48501300e-07    3
-4.62580600e-09 2.47151500e-12-1.76631500e+04 6.78536300e+00                   4
AR                  5/97AR 1.   0.   0.   0.G   200.000  6000.000 1000.        1
 2.50000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00    2
-7.45375000E+02 4.37967491E+00 2.50000000E+00 0.00000000E+00 0.00000000E+00    3
 0.00000000E+00 0.00000000E+00-7.45375000E+02 4.37967491E+00 0.00000000E+00    4
END

